data,campanha_id,plataforma,nome_campanha,gasto,impressoes,cliques
2026-05-03,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,176.34,19308,260
2026-05-04,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,257.57,31170,840
2026-05-05,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,197.15,18441,552
2026-05-06,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,243.44,38422,1090
2026-05-07,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,245.49,24952,466
2026-05-08,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,142.63,16840,156
2026-05-09,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,169.39,26928,372
2026-05-10,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,181.71,21734,631
2026-05-11,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,269.26,34708,826
2026-05-12,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,133.08,14741,432
2026-05-13,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,201.83,25824,631
2026-05-14,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,117.26,15348,292
2026-05-15,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,246.14,24865,724
2026-05-16,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,120.98,12461,262
2026-05-17,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,146.1,14375,396
2026-05-18,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,147.89,19464,420
2026-05-19,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,175.91,23019,448
2026-05-20,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,259.42,27057,642
2026-05-21,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,146.67,17263,393
2026-05-22,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,156.6,17559,430
2026-05-23,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,119.75,14619,438
2026-05-24,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,119.87,12576,173
2026-05-25,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,259.19,39308,1074
2026-05-26,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,167.86,16960,446
2026-05-27,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,221.97,29481,876
2026-05-28,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,213.94,19371,503
2026-05-29,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,156.5,21352,611
2026-05-30,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,129.76,12726,131
2026-05-31,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,152.12,20131,478
2026-06-01,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,140.98,18947,261
2026-06-02,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,187.14,28702,763
2026-06-03,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,122.95,14711,207
2026-06-04,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,108.57,15631,344
2026-06-05,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,150.44,21345,429
2026-06-06,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,177.29,16076,155
2026-06-07,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,254.44,32616,859
2026-06-08,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,202.37,20311,219
2026-06-09,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,157.94,24153,616
2026-06-10,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,247.43,37838,477
2026-06-11,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,148.42,14425,362
2026-06-12,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,251.23,29757,644
2026-06-13,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,133.04,20633,557
2026-06-14,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,239.35,36309,310
2026-06-15,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,227.32,25744,733
2026-06-16,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,237.96,35809,925
2026-06-17,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,151.22,21944,227
2026-06-18,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,249.29,37418,482
2026-06-19,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,240.29,29368,432
2026-06-20,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,236.85,25089,213
2026-06-22,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,161.18,24258,710
2026-06-23,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,153.22,20669,347
2026-06-24,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,266.95,34045,975
2026-06-25,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,126.69,20007,238
2026-06-26,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,263.93,28658,297
2026-06-27,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,178.4,25154,374
2026-06-28,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,190.85,22322,461
2026-06-29,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,149.27,20840,167
2026-06-30,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,257.94,32936,784
2026-05-01,cmp_003,Meta,REMARKETING_VISITANTES_SITE,152.13,20833,333
2026-05-02,cmp_003,Meta,REMARKETING_VISITANTES_SITE,79.56,10859,165
2026-05-03,cmp_003,Meta,REMARKETING_VISITANTES_SITE,163.59,22965,335
2026-05-04,cmp_003,Meta,REMARKETING_VISITANTES_SITE,105.4,12499,210
2026-05-05,cmp_003,Meta,REMARKETING_VISITANTES_SITE,103.93,10279,177
2026-05-06,cmp_003,Meta,REMARKETING_VISITANTES_SITE,173.56,23849,664
2026-05-07,cmp_003,Meta,REMARKETING_VISITANTES_SITE,138.48,15380,308
2026-05-08,cmp_003,Meta,REMARKETING_VISITANTES_SITE,72.04,7930,138
2026-05-09,cmp_003,Meta,REMARKETING_VISITANTES_SITE,134.64,18288,333
2026-05-10,cmp_003,Meta,REMARKETING_VISITANTES_SITE,95.08,11706,325
2026-05-11,cmp_003,Meta,REMARKETING_VISITANTES_SITE,157.97,16093,158
2026-05-12,cmp_003,Meta,REMARKETING_VISITANTES_SITE,127.67,17146,263
2026-05-13,cmp_003,Meta,REMARKETING_VISITANTES_SITE,160.39,22868,521
2026-05-14,cmp_003,Meta,REMARKETING_VISITANTES_SITE,96.26,10005,85
2026-05-15,cmp_003,Meta,REMARKETING_VISITANTES_SITE,98.44,12133,323
2026-05-16,cmp_003,Meta,REMARKETING_VISITANTES_SITE,79.87,9505,207
2026-05-18,cmp_003,Meta,REMARKETING_VISITANTES_SITE,147.21,18343,245
2026-05-19,cmp_003,Meta,REMARKETING_VISITANTES_SITE,142.85,12911,316
2026-05-20,cmp_003,Meta,REMARKETING_VISITANTES_SITE,155.16,15122,262
2026-05-21,cmp_003,Meta,REMARKETING_VISITANTES_SITE,91.0,14292,277
2026-05-22,cmp_003,Meta,REMARKETING_VISITANTES_SITE,77.42,8318,221
2026-05-23,cmp_003,Meta,REMARKETING_VISITANTES_SITE,121.3,17721,402
2026-05-24,cmp_003,Meta,REMARKETING_VISITANTES_SITE,136.31,21332,589
2026-05-25,cmp_003,Meta,REMARKETING_VISITANTES_SITE,138.17,19392,370
2026-05-26,cmp_003,Meta,REMARKETING_VISITANTES_SITE,161.7,20754,575
2026-05-27,cmp_003,Meta,REMARKETING_VISITANTES_SITE,152.31,18768,257
2026-05-28,cmp_003,Meta,REMARKETING_VISITANTES_SITE,98.7,13288,330
2026-05-29,cmp_003,Meta,REMARKETING_VISITANTES_SITE,128.3,17175,241
2026-05-30,cmp_003,Meta,REMARKETING_VISITANTES_SITE,80.37,8840,123
2026-05-31,cmp_003,Meta,REMARKETING_VISITANTES_SITE,130.34,12993,170
2026-06-01,cmp_003,Meta,REMARKETING_VISITANTES_SITE,146.95,20492,192
2026-06-02,cmp_003,Meta,REMARKETING_VISITANTES_SITE,116.02,14848,254
2026-06-03,cmp_003,Meta,REMARKETING_VISITANTES_SITE,94.34,11265,314
2026-06-04,cmp_003,Meta,REMARKETING_VISITANTES_SITE,135.08,18733,502
2026-06-05,cmp_003,Meta,REMARKETING_VISITANTES_SITE,154.68,18039,146
2026-06-06,cmp_003,Meta,REMARKETING_VISITANTES_SITE,109.99,15700,420
2026-06-07,cmp_003,Meta,REMARKETING_VISITANTES_SITE,117.25,16687,333
2026-06-08,cmp_003,Meta,REMARKETING_VISITANTES_SITE,137.15,14460,185
2026-06-09,cmp_003,Meta,REMARKETING_VISITANTES_SITE,119.07,10958,168
2026-06-10,cmp_003,Meta,REMARKETING_VISITANTES_SITE,145.35,17195,199
2026-06-11,cmp_003,Meta,REMARKETING_VISITANTES_SITE,122.48,12117,262
2026-06-12,cmp_003,Meta,REMARKETING_VISITANTES_SITE,74.91,8808,179
2026-06-13,cmp_003,Meta,REMARKETING_VISITANTES_SITE,74.93,10114,111
2026-06-14,cmp_003,Meta,REMARKETING_VISITANTES_SITE,77.43,9023,114
2026-06-15,cmp_003,Meta,REMARKETING_VISITANTES_SITE,107.3,15374,251
2026-06-16,cmp_003,Meta,REMARKETING_VISITANTES_SITE,153.22,22712,307
2026-06-17,cmp_003,Meta,REMARKETING_VISITANTES_SITE,80.85,7386,146
2026-06-18,cmp_003,Meta,REMARKETING_VISITANTES_SITE,179.99,20608,459
2026-06-19,cmp_003,Meta,REMARKETING_VISITANTES_SITE,156.37,21207,521
2026-06-20,cmp_003,Meta,REMARKETING_VISITANTES_SITE,174.56,18146,153
2026-06-22,cmp_003,Meta,REMARKETING_VISITANTES_SITE,85.63,11719,239
2026-06-23,cmp_003,Meta,REMARKETING_VISITANTES_SITE,95.54,13276,330
2026-06-24,cmp_003,Meta,REMARKETING_VISITANTES_SITE,90.12,11941,292
2026-06-25,cmp_003,Meta,REMARKETING_VISITANTES_SITE,84.37,12432,363
2026-06-26,cmp_003,Meta,REMARKETING_VISITANTES_SITE,83.67,7680,114
2026-06-27,cmp_003,Meta,REMARKETING_VISITANTES_SITE,145.15,22799,381
2026-06-28,cmp_003,Meta,REMARKETING_VISITANTES_SITE,80.21,11096,241
2026-06-29,cmp_003,Meta,REMARKETING_VISITANTES_SITE,83.01,11959,319
2026-06-30,cmp_003,Meta,REMARKETING_VISITANTES_SITE,136.84,13475,399
2026-05-01,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,78.26,8945,155
2026-05-02,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,56.01,7024,108
2026-05-03,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,80.41,7830,228
2026-05-04,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,70.32,10408,245
2026-05-05,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,59.52,8414,246
2026-05-06,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,50.58,7413,147
2026-05-07,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,62.11,7483,180
2026-05-08,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,50.49,7554,198
2026-05-09,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,40.68,6171,82
2026-05-10,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,68.96,8035,69
2026-05-11,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,81.95,8418,106
2026-05-12,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,79.08,9001,246
2026-05-13,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,73.86,8075,66
2026-05-14,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,87.2,8370,199
2026-05-15,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,62.38,8924,206
2026-05-16,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,70.88,8814,224
2026-05-18,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,47.97,6640,97
2026-05-19,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,67.4,8298,163
2026-05-20,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,58.98,8387,128
2026-05-21,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,73.95,8057,109
2026-05-22,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,42.52,4400,46
2026-05-23,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,64.94,9309,112
2026-05-25,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,62.15,8745,257
2026-05-26,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,64.33,7064,72
2026-05-27,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,46.48,4923,58
2026-05-28,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,36.76,4682,65
2026-05-29,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,88.61,11407,266
2026-05-30,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,42.82,6456,121
2026-05-31,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,67.0,8231,145
2026-06-01,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,45.96,4301,123
2026-06-02,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,61.8,9118,153
2026-06-03,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,40.0,5362,49
2026-06-04,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,44.06,5701,83
2026-06-05,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,89.67,8813,218
2026-06-06,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,68.74,9991,129
2026-06-07,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,60.33,7299,196
2026-06-08,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,89.46,9963,215
2026-06-09,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,68.92,9773,281
2026-06-10,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,47.22,4947,111
2026-06-11,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,44.48,4544,43
2026-06-12,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,36.14,4392,92
2026-06-13,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,51.73,5493,129
2026-06-14,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,60.52,8358,236
2026-06-15,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,78.54,10505,236
2026-06-16,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,86.42,10349,206
2026-06-17,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,70.97,10900,285
2026-06-18,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,39.86,4050,59
2026-06-19,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,76.44,9925,142
2026-06-20,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,42.72,5904,138
2026-06-21,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,63.03,7851,76
2026-06-22,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,38.15,4587,69
2026-06-23,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,49.52,4773,139
2026-06-24,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,81.14,10569,305
2026-06-25,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,89.98,12332,171
2026-06-26,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,38.17,5455,100
2026-06-27,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,71.18,10970,131
2026-06-28,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,70.28,8744,87
2026-06-29,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,54.79,6209,141
2026-06-30,cmp_004,Google,PESQUISA_MOVEIS_PLANEJADOS_MARCA,82.32,9309,216
2026-05-01,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,154.69,24156,625
2026-05-02,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,197.12,24016,358
2026-05-03,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,265.17,31367,606
2026-05-04,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,268.08,36468,727
2026-05-05,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,174.95,18042,287
2026-05-06,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,230.54,30841,762
2026-05-07,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,140.98,18108,514
2026-05-08,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,178.97,24854,265
2026-05-09,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,265.65,35230,467
2026-05-11,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,197.24,25376,255
2026-05-12,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,268.75,41361,750
2026-05-13,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,127.03,18832,357
2026-05-14,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,224.09,28150,394
2026-05-15,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,243.23,38580,515
2026-05-16,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,197.3,23054,651
2026-05-17,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,250.45,37688,530
2026-05-18,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,235.98,28092,802
2026-05-19,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,190.25,28050,398
2026-05-20,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,156.37,20497,614
2026-05-21,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,187.32,18807,373
2026-05-22,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,163.91,21084,420
2026-05-23,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,181.77,20453,248
2026-05-24,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,200.63,21336,534
2026-05-25,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,115.07,16354,384
2026-05-26,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,239.45,28021,633
2026-05-27,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,240.96,38230,722
2026-05-28,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,114.0,14268,299
2026-05-29,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,248.89,37630,665
2026-05-30,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,193.2,23567,563
2026-05-31,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,214.07,21579,395
2026-06-01,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,265.01,30131,700
2026-06-02,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,213.27,31910,853
2026-06-03,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,247.21,28824,431
2026-06-04,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,224.43,32128,873
2026-06-05,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,113.82,10788,236
2026-06-06,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,257.19,41104,1004
2026-06-07,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,123.95,16654,452
2026-06-08,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,179.88,24927,694
2026-06-09,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,115.45,16824,243
2026-06-10,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,168.72,16904,332
2026-06-11,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,199.68,29048,341
2026-06-12,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,120.79,18234,394
2026-06-13,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,147.01,22624,252
2026-06-14,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,149.14,16088,132
2026-06-15,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,238.35,36487,835
2026-06-16,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,133.59,16153,252
2026-06-17,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,203.19,27374,474
2026-06-18,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,148.52,22154,274
2026-06-19,cmp_005,Google,PESQUISA_MOVEIS_PLANEJADOS_GENERICO,170.32,21089,278
